iter	Logloss
0	0.636850823
1	0.5958182587
2	0.5482016992
3	0.511054462
4	0.4827481023
5	0.4503297845
6	0.4264718057
7	0.3986014612
8	0.3668644568
9	0.3437075229
10	0.327037153
11	0.3086481503
12	0.2904482003
13	0.2773761059
14	0.2617183425
15	0.2483679548
16	0.2383269769
17	0.2259563493
18	0.2177991094
19	0.2070907105
20	0.1986563119
21	0.1901562073
22	0.1812482538
23	0.1694179821
24	0.1624088382
25	0.1556661863
26	0.1477454237
27	0.1414622006
28	0.1359246255
29	0.1316455658
30	0.128019821
31	0.122921433
32	0.1184514613
33	0.1135138231
34	0.1103416013
35	0.1072583365
36	0.1036885175
37	0.1006461171
38	0.09872369388
39	0.09595608757
40	0.09241379454
41	0.08922739486
42	0.08694446064
43	0.08453790426
44	0.08198273104
45	0.07957778286
46	0.07690829479
47	0.07487748011
48	0.07342662796
49	0.07164259085
50	0.07019981913
51	0.06842065362
52	0.06646351253
53	0.06457585533
54	0.06290234278
55	0.06149317883
56	0.06058896039
57	0.05880308606
58	0.05742204821
59	0.05562297235
60	0.05432057674
61	0.05291584415
62	0.0517598063
63	0.05025047974
64	0.04928284154
65	0.04827368623
66	0.04715604317
67	0.04563345886
68	0.04464290231
69	0.04397748578
70	0.0433243213
71	0.04257477442
72	0.04172584288
73	0.0409210997
74	0.04011596748
75	0.03936430638
76	0.03828084161
77	0.03753130103
78	0.03687248996
79	0.03625128914
80	0.03520829355
81	0.03436747637
82	0.03389974786
83	0.03341707751
84	0.03278444214
85	0.03209601779
86	0.03159320276
87	0.03111063079
88	0.03043815448
89	0.0299283516
90	0.02938183829
91	0.02866575753
92	0.02820656482
93	0.0275717407
94	0.02713244353
95	0.02665397223
96	0.02609354116
97	0.02568032258
98	0.02535729495
99	0.02485466953
100	0.02447077096
101	0.02412067273
102	0.02371375793
103	0.0232521166
104	0.02291393796
105	0.02266820129
106	0.02233623157
107	0.0220396454
108	0.02174205213
109	0.02141035378
110	0.02116171234
111	0.02082295217
112	0.0205954032
113	0.02035335551
114	0.02014314182
115	0.01993385004
116	0.01974002524
117	0.01949692998
118	0.01925434689
119	0.01904221071
120	0.01879029199
121	0.01852783083
122	0.01836767207
123	0.01814291309
124	0.0179275077
125	0.0176742267
126	0.01747834765
127	0.01725866481
128	0.01705851246
129	0.01682457247
130	0.01661961219
131	0.01643963033
132	0.01626970981
133	0.01608553185
134	0.01587688495
135	0.0156936707
136	0.01552077944
137	0.01536068857
138	0.01520223941
139	0.01509615547
140	0.01495331937
141	0.01479918854
142	0.014645633
143	0.01450168889
144	0.01435160286
145	0.01420379787
146	0.01404648451
147	0.01391451051
148	0.01378467689
149	0.01365588357
150	0.01352698108
151	0.01340640711
152	0.01328263832
153	0.01316491524
154	0.0130493738
155	0.01294152349
156	0.01282998653
157	0.01271915771
158	0.01261780697
159	0.01251102622
160	0.01240475873
161	0.01230199109
162	0.01219663601
163	0.01209676795
164	0.01200542884
165	0.01191163993
166	0.01181835066
167	0.01172569333
168	0.01163614453
169	0.01154473318
170	0.01145743947
171	0.0113701541
172	0.01128529467
173	0.01120056336
174	0.01111890913
175	0.01102707347
176	0.01093690849
177	0.01084781931
178	0.01076043784
179	0.01067545016
180	0.01059156208
181	0.01050929216
182	0.01042773101
183	0.01034696232
184	0.01026761622
185	0.01020335908
186	0.01012761972
187	0.01005295038
188	0.00999087883
189	0.009930595245
190	0.009858903224
191	0.009800078621
192	0.009741940382
193	0.009684688921
194	0.009628208183
195	0.00957214615
196	0.009517061388
197	0.009462791947
198	0.009409064243
199	0.009354802621
200	0.009301852231
201	0.009249962278
202	0.009198681345
203	0.009148079659
204	0.009098205641
205	0.00904913292
206	0.00900006416
207	0.008951946481
208	0.008904661338
209	0.008857751354
210	0.008811150824
211	0.008765546287
212	0.008720027581
213	0.008674987149
214	0.00863059122
215	0.008586916716
216	0.008543216689
217	0.008500400142
218	0.008458157413
219	0.00841614041
220	0.008374895462
221	0.008333086585
222	0.008292562503
223	0.008252251456
224	0.008212640552
225	0.008173424232
226	0.008134473082
227	0.008096205983
228	0.008057759649
229	0.008020109353
230	0.007982644989
231	0.007945866008
232	0.007909475895
233	0.007873313471
234	0.007837459063
235	0.007802008758
236	0.007767022387
237	0.00773225636
238	0.007697674862
239	0.007663595972
240	0.007629523883
241	0.007595588342
242	0.007562522451
243	0.007529867779
244	0.007497170173
245	0.007465148538
246	0.007433148693
247	0.007400995208
248	0.00737014824
249	0.007338813828
250	0.00730830722
251	0.007278103562
252	0.007247779186
253	0.007218260367
254	0.007187995053
255	0.007158844521
256	0.007130037802
257	0.007101296403
258	0.007072345196
259	0.007044103775
260	0.007015926798
261	0.006987462192
262	0.006960032271
263	0.006932233099
264	0.006905253947
265	0.006878535022
266	0.006851955273
267	0.006825840091
268	0.006799460421
269	0.006773477543
270	0.006747272024
271	0.006722099489
272	0.00669666948
273	0.006671550536
274	0.006646812572
275	0.006621535325
276	0.006597269499
277	0.006572985074
278	0.006548796085
279	0.00652446366
280	0.006500700022
281	0.006477171295
282	0.006453656173
283	0.006429651941
284	0.006406760809
285	0.006383923164
286	0.006361028666
287	0.006338729005
288	0.006315979364
289	0.006293471648
290	0.006271383583
291	0.006249143895
292	0.006227123009
293	0.006198658649
294	0.00617746951
295	0.006156083466
296	0.006127586797
